Date;Time;Williams;;;Money Flow Oscillator;
01/01/2020;19:00:00;-50;8771929824561;;0;
01/01/2020;20:00:00;-14;350877192982;;0;
01/01/2020;21:00:00;-30;0;;;
01/01/2020;22:00:00;-8;57142857142857;;0;
01/01/2020;23:00:00;-4;44444444444444;;0;
02/01/2020;00:00:00;-18;8888888888889;;0;
02/01/2020;01:00:00;-13;3333333333333;;0;
02/01/2020;02:00:00;-15;5555555555556;;0;
02/01/2020;03:00:00;-13;9344262295082;;0;
02/01/2020;04:00:00;-7;64331210191083;;0;
02/01/2020;05:00:00;-2;65957446808511;;0;
02/01/2020;06:00:00;-7;61904761904762;;0;
02/01/2020;07:00:00;-26;1904761904762;;0;
02/01/2020;08:00:00;-6;66666666666667;;0;
02/01/2020;09:00:00;-4;27350427350427;;0;
02/01/2020;10:00:00;-5;625;;0;
02/01/2020;11:00:00;-32;7586206896552;;0;
02/01/2020;12:00:00;-33;695652173913;;0;
02/01/2020;13:00:00;-11;9565217391304;;0;
02/01/2020;14:00:00;-11;5942028985507;;0;
02/01/2020;15:00:00;-1;89873417721519;;0;253
02/01/2020;16:00:00;-0;493827160493827;;0;337
02/01/2020;17:00:00;-0;459770114942529;;0;357
02/01/2020;19:00:00;-8;57142857142857;;0;359
02/01/2020;20:00:00;-4;76190476190476;;0;353
02/01/2020;21:00:00;-31;9047619047619;;0;333
02/01/2020;22:00:00;-66;1904761904762;;0;262
02/01/2020;23:00:00;-80;7142857142857;;0;225
03/01/2020;00:00:00;-73;3333333333333;;0;218
03/01/2020;01:00:00;-84;7619047619048;;0;199
03/01/2020;02:00:00;-85;4066985645933;;0;183
03/01/2020;03:00:00;-98;9177489177489;;0;162
03/01/2020;04:00:00;-88;626223091976;;0;143
03/01/2020;05:00:00;-90;6574394463668;;0;122
03/01/2020;06:00:00;-93;75;;0;84
03/01/2020;07:00:00;-87;6453488372093;;0;25
03/01/2020;08:00:00;-76;174418604651;;0;94
03/01/2020;09:00:00;-67;4452554744526;;0;172
03/01/2020;10:00:00;-47;2992700729927;;0;153
03/01/2020;11:00:00;-41;526315789474;;0;175
03/01/2020;12:00:00;-6;16113744075829;;0;115
03/01/2020;13:00:00;-6;52173913043478;;0;91
03/01/2020;14:00:00;-21;9367588932806;;0;32
03/01/2020;15:00:00;-16;600790513834;;0;21
03/01/2020;16:00:00;-41;1067193675889;;0;8
03/01/2020;17:00:00;-39;5256916996047;;0;1
04/01/2020;12:00:00;-39;5256916996047;;0;42
05/01/2020;19:00:00;-66;600790513834;;0;4
05/01/2020;20:00:00;-72;3711340206186;;0;47
05/01/2020;21:00:00;-86;4035087719298;;0;45
05/01/2020;22:00:00;-85;5263157894737;;0;47
05/01/2020;23:00:00;-72;5877192982456;;0;6
06/01/2020;00:00:00;-64;6929824561404;;0;88
06/01/2020;01:00:00;-70;6140350877193;;0;104
06/01/2020;02:00:00;-77;4122807017544;;0;114
06/01/2020;03:00:00;-78;5219399538106;;0;128
06/01/2020;04:00:00;-97;9633401221996;;0;7
06/01/2020;05:00:00;-87;1031746031746;;0;16
06/01/2020;06:00:00;-74;1935483870968;;-0;2
06/01/2020;07:00:00;-71;830985915493;;-0;88
06/01/2020;08:00:00;-46;5277777777778;;-0;77
06/01/2020;09:00:00;-60;4166666666667;;-0;209
06/01/2020;10:00:00;-3;87096774193548;;-0;7
06/01/2020;11:00:00;-5;8411214953271;;0;98
06/01/2020;12:00:00;-11;6740088105727;;0;185
06/01/2020;13:00:00;-12;5550660792952;;0;159
06/01/2020;14:00:00;-5;6607929515418;;0;198
06/01/2020;15:00:00;-5;6072874493927;;0;253
06/01/2020;16:00:00;-1;91972076788831;;0;283
06/01/2020;17:00:00;-13;6666666666667;;0;296
06/01/2020;19:00:00;-16;0;;298;
06/01/2020;20:00:00;-5;90277777777778;;0;297
06/01/2020;21:00:00;-3;5084745762712;;0;295
06/01/2020;22:00:00;-5;68181818181818;;0;303
06/01/2020;23:00:00;-6;81818181818182;;0;316
07/01/2020;00:00:00;-4;6656298600311;;0;322
07/01/2020;01:00:00;-13;8461538461538;;0;379
07/01/2020;02:00:00;-23;7179487179487;;0;403
07/01/2020;03:00:00;-32;512820512821;;0;377
07/01/2020;04:00:00;-20;7482993197279;;0;373
07/01/2020;05:00:00;-24;5487364620939;;0;357
07/01/2020;06:00:00;-32;3404255319149;;0;369
07/01/2020;07:00:00;-54;950495049505;;0;376
07/01/2020;08:00:00;-30;4123711340206;;0;259
07/01/2020;09:00:00;-80;3191489361702;;0;181
07/01/2020;10:00:00;-63;705394190871;;0;96
07/01/2020;11:00:00;-31;9502074688797;;0;62
07/01/2020;12:00:00;-42;7385892116183;;0;88
07/01/2020;13:00:00;-32;3651452282158;;0;9
07/01/2020;14:00:00;-17;4273858921162;;0;3
07/01/2020;15:00:00;-39;4190871369295;;0;5
07/01/2020;16:00:00;-53;5269709543568;;-0;15
07/01/2020;17:00:00;-73;1884057971015;;-0;52
07/01/2020;19:00:00;-84;472049689441;;-0;118
07/01/2020;20:00:00;-84;7619047619048;;-0;172
07/01/2020;21:00:00;-65;8333333333333;;-0;154
07/01/2020;22:00:00;-33;952380952381;;-0;104
07/01/2020;23:00:00;-33;8095238095238;;-0;86
08/01/2020;00:00:00;-38;4523809523809;;-0;82
08/01/2020;01:00:00;-39;8809523809524;;-0;96
08/01/2020;02:00:00;-37;238095238095;;-0;1
08/01/2020;03:00:00;-27;7777777777778;;-0;85
08/01/2020;04:00:00;-25;4830917874396;;-0;67
08/01/2020;05:00:00;-21;9806763285024;;-0;62
08/01/2020;06:00:00;-6;54320987654321;;-0;39
08/01/2020;07:00:00;-7;84077201447527;;0;27
08/01/2020;08:00:00;-4;82509047044632;;0;9
08/01/2020;09:00:00;-10;2016607354686;;-0;36
08/01/2020;10:00:00;-2;93367346938776;;-0;23
08/01/2020;11:00:00;-16;996699669967;;-0;35
08/01/2020;12:00:00;-7;92580101180438;;0;45
08/01/2020;13:00:00;-3;60205831903945;;0;106
08/01/2020;14:00:00;-7;37564322469983;;0;134
08/01/2020;15:00:00;-0;33112582781457;;0;207
08/01/2020;16:00:00;-25;5639097744361;;0;29
08/01/2020;17:00:00;-16;256157635468;;0;276
08/01/2020;19:00:00;-13;9130434782609;;0;255
08/01/2020;20:00:00;-12;1323529411765;;0;251
08/01/2020;21:00:00;-14;4869215291751;;0;249
08/01/2020;22:00:00;-18;5110663983903;;0;254
08/01/2020;23:00:00;-20;1207243460765;;0;251
09/01/2020;00:00:00;-14;6881287726358;;0;243
09/01/2020;01:00:00;-9;3225806451613;;0;238
09/01/2020;02:00:00;-9;52380952380952;;0;236
09/01/2020;03:00:00;-4;58015267175572;;0;23
09/01/2020;04:00:00;-13;9285714285714;;0;225
09/01/2020;05:00:00;-11;714285714286;;0;23
09/01/2020;06:00:00;-18;9285714285714;;0;234
09/01/2020;07:00:00;-12;406015037594;;0;272
09/01/2020;08:00:00;-21;4285714285714;;0;293
09/01/2020;09:00:00;-6;31970260223048;;0;258
09/01/2020;10:00:00;-20;557103064067;;0;305
09/01/2020;11:00:00;-11;6991643454039;;0;256
09/01/2020;12:00:00;-16;991643454039;;0;218
09/01/2020;13:00:00;-53;3333333333333;;0;88
09/01/2020;14:00:00;-44;5614035087719;;0;103
09/01/2020;15:00:00;-34;4086021505376;;0;126
09/01/2020;16:00:00;-22;9390681003584;;0;109
09/01/2020;17:00:00;-19;7132616487455;;0;12
09/01/2020;19:00:00;-9;67741935483871;;0;129
09/01/2020;20:00:00;-5;23076923076923;;0;153
09/01/2020;21:00:00;-7;7692307692308;;0;152
09/01/2020;22:00:00;-3;38461538461538;;0;147
09/01/2020;23:00:00;-0;869565217391304;;0;15
10/01/2020;00:00:00;-5;7042253521127;;0;142
10/01/2020;01:00:00;-1;69014084507042;;0;131
10/01/2020;02:00:00;-6;3013698630137;;0;136
10/01/2020;03:00:00;-4;65753424657534;;0;134
10/01/2020;04:00:00;-18;9473684210526;;0;126
10/01/2020;05:00:00;-5;85774058577406;;0;127
10/01/2020;06:00:00;-8;43373493975904;;0;131
10/01/2020;07:00:00;-12;7853881278539;;0;6
10/01/2020;08:00:00;-18;4210526315789;;0;2
10/01/2020;09:00:00;-40;251572327044;;-0;24
10/01/2020;10:00:00;-49;5098039215686;;-0;21
10/01/2020;11:00:00;-39;2156862745098;;0;23
10/01/2020;12:00:00;-75;9803921568627;;-0;62
10/01/2020;13:00:00;-74;812030075188;;-0;183
10/01/2020;14:00:00;-64;2857142857143;;-0;164
10/01/2020;15:00:00;-79;7047970479705;;-0;197
10/01/2020;16:00:00;-81;5126050420168;;-0;273
10/01/2020;17:00:00;-86;5546218487395;;-0;278
11/01/2020;12:00:00;-86;5546218487395;;-0;28
12/01/2020;19:00:00;-76;1904761904762;;-0;27
12/01/2020;20:00:00;-67;7871148459384;;-0;271
12/01/2020;21:00:00;-59;7701149425287;;-0;252
12/01/2020;22:00:00;-48;5632183908046;;-0;255
12/01/2020;23:00:00;-43;8095238095238;;-0;249
13/01/2020;00:00:00;-42;6229508196721;;-0;245
13/01/2020;01:00:00;-37;953795379538;;-0;247
13/01/2020;02:00:00;-20;18779342723;;-0;255
13/01/2020;03:00:00;-19;7183098591549;;-0;266
13/01/2020;04:00:00;-9;33333333333333;;-0;251
13/01/2020;05:00:00;-0;420168067226891;;-0;223
13/01/2020;06:00:00;-3;86473429951691;;-0;165
13/01/2020;07:00:00;-39;7959183673469;;-0;264
13/01/2020;08:00:00;-30;518134715026;;-0;266
13/01/2020;09:00:00;-27;3809523809524;;-0;91
13/01/2020;10:00:00;-11;1764705882353;;-0;8
13/01/2020;11:00:00;-8;44155844155844;;0;36
13/01/2020;12:00:00;-2;72727272727273;;0;31
13/01/2020;13:00:00;-7;30769230769231;;0;395
13/01/2020;14:00:00;-10;5454545454545;;0;392
13/01/2020;15:00:00;-7;14285714285714;;0;367
13/01/2020;16:00:00;-1;80722891566265;;0;369
13/01/2020;17:00:00;-5;72207084468665;;0;369
13/01/2020;19:00:00;-2;64423076923077;;0;374
13/01/2020;20:00:00;-5;63063063063063;;0;379
13/01/2020;21:00:00;-10;8108108108108;;0;368
13/01/2020;22:00:00;-16;2162162162162;;0;358
13/01/2020;23:00:00;-24;7747747747748;;0;338
14/01/2020;00:00:00;-25;4504504504505;;0;339
14/01/2020;01:00:00;-32;1052631578947;;0;332
14/01/2020;02:00:00;-31;3432835820896;;0;33
14/01/2020;03:00:00;-73;434782608696;;0;317
14/01/2020;04:00:00;-62;8378378378378;;0;265
14/01/2020;05:00:00;-34;4594594594595;;0;293
14/01/2020;06:00:00;-52;3648648648649;;0;278
14/01/2020;07:00:00;-55;7432432432432;;0;289
14/01/2020;08:00:00;-48;6486486486486;;0;284
14/01/2020;09:00:00;-37;5;;0;204
14/01/2020;10:00:00;-93;1972789115646;;-0;87
14/01/2020;11:00:00;-64;5161290322581;;-0;115
14/01/2020;12:00:00;-34;-0;;93;
14/01/2020;13:00:00;-27;2357723577236;;-0;71
14/01/2020;14:00:00;-65;4471544715447;;-0;121
14/01/2020;15:00:00;-58;7044534412955;;-0;171
14/01/2020;16:00:00;-74;4939271255061;;-0;18
14/01/2020;17:00:00;-54;6558704453441;;-0;17
14/01/2020;19:00:00;-98;1412639405204;;-0;171
14/01/2020;20:00:00;-85;5633802816901;;-0;166
14/01/2020;21:00:00;-66;7870036101083;;-0;157
14/01/2020;22:00:00;-88;86642599278;;-0;161
14/01/2020;23:00:00;-84;4765342960289;;-0;163
15/01/2020;00:00:00;-81;5884476534296;;-0;158
15/01/2020;01:00:00;-76;173285198556;;-0;125
15/01/2020;02:00:00;-70;3971119133574;;-0;144
15/01/2020;03:00:00;-61;108303249097;;-0;142
15/01/2020;04:00:00;-66;4259927797834;;-0;133
15/01/2020;05:00:00;-55;239234449761;;-0;142
15/01/2020;06:00:00;-27;6729559748428;;-0;151
15/01/2020;07:00:00;-11;6883116883117;;-0;65
15/01/2020;08:00:00;-9;69387755102041;;-0;36
15/01/2020;09:00:00;-55;6122448979592;;-0;86
15/01/2020;10:00:00;-4;7008547008547;;-0;9
15/01/2020;11:00:00;-2;2140221402214;;0;55
15/01/2020;12:00:00;-28;442804428044;;0;127
15/01/2020;13:00:00;-46;8992248062016;;0;132
15/01/2020;14:00:00;-68;6046511627907;;0;2
15/01/2020;15:00:00;-61;5044247787611;;0;41
15/01/2020;16:00:00;-59;2465753424658;;-0;53
15/01/2020;17:00:00;-46;5753424657534;;-0;48
15/01/2020;19:00:00;-30;1369863013699;;-0;31
15/01/2020;20:00:00;-39;3835616438356;;-0;28
15/01/2020;21:00:00;-31;8493150684932;;-0;32
15/01/2020;22:00:00;-34;2465753424658;;-0;32
15/01/2020;23:00:00;-37;3287671232877;;-0;38
16/01/2020;00:00:00;-29;4520547945205;;-0;4
16/01/2020;01:00:00;-19;5205479452055;;-0;36
16/01/2020;02:00:00;-15;9722222222222;;-0;31
16/01/2020;03:00:00;-10;6870229007634;;-0;37
16/01/2020;04:00:00;-9;51008645533141;;-0;16
16/01/2020;05:00:00;-21;9020172910663;;-0;29
16/01/2020;06:00:00;-12;3919308357349;;-0;19
16/01/2020;07:00:00;-18;695652173913;;-0;58
